Area,Camp,Crop_YieldA,Crop_YieldB,Fire,Harvest_Year,Patch_ID,Population,Actual_CropYield
11.7633,Hartman,10133.0,5398.3125,0,2004,446,16033,9563.18
11.7633,Hartman,2.96E+28,28984.5,0,2010,446,85909,889.2
12.3053,Hartman,11938.0156,7174.9125,0,2004,448,24853,7792.272
12.3053,Hartman,0,10342.0125,0,2009,448,30643,15106
12.3053,Hartman,3.44E+27,95884.425,0,2015,448,284115,9264
12.3053,Hartman,2.68621E+11,229233.0375,0,2019,448,679305,11258
49.4067,Swartbos-nek,0,34844.5125,2003,2003,455,115553,7281
49.4067,Swartbos-nek,3336.723244,86363.2125,2003,2006,455,257018,2900
49.4067,Swartbos-nek,0,234285.75,2003,2010,455,702678,14503
49.4067,Swartbos-nek,0,502907.7375,2013,2015,455,1490767,12833
12.2908,Boesmanrant,9697.119038,2230.5375,2000,2004,480,7032,8827.27
12.2908,Boesmanrant,153.3292426,10437.1875,2000,2009,480,35615,1089
