Year,Area,Camp,Fire_Year,Harvest_Year,Patch_ID,Patch_Population
2000,11.7633,Hartman,0,0,446,4086
2001,11.7633,Hartman,0,0,446,4975
2002,11.7633,Hartman,0,0,446,7871
2003,11.7633,Hartman,0,0,446,14584
2005,11.7633,Hartman,0,2004,446,14001
2006,11.7633,Hartman,0,2004,446,14367
2007,11.7633,Hartman,0,2004,446,20476
2008,11.7633,Hartman,0,2004,446,55673
2009,11.7633,Hartman,0,2004,446,58939
2010,11.7633,Hartman,0,2010,446,86075
2011,11.7633,Hartman,0,2010,446,85983
2012,11.7633,Hartman,0,2010,446,84808
2013,11.7633,Hartman,0,2010,446,93222
2014,11.7633,Hartman,0,2010,446,194531
2015,11.7633,Hartman,0,2010,446,279278
2016,11.7633,Hartman,0,2010,446,303325
2017,11.7633,Hartman,0,2010,446,301960
2018,11.7633,Hartman,0,2010,446,304937
2019,11.7633,Hartman,0,2010,446,471885
2000,4.1744,Hartman,0,0,449,1505
2001,4.1744,Hartman,0,0,449,3105
2002,4.1744,Hartman,0,0,449,3182
2003,4.1744,Hartman,0,0,449,3478
2004,4.1744,Hartman,0,0,449,3514
2005,4.1744,Hartman,0,0,449,3522
2006,4.1744,Hartman,0,0,449,4221
2007,4.1744,Hartman,0,0,449,4501
2008,4.1744,Hartman,0,0,449,7001
2009,4.1744,Hartman,0,2009,449,7596
2010,4.1744,Hartman,0,2009,449,7742
2011,4.1744,Hartman,0,2009,449,7991
2012,4.1744,Hartman,0,2009,449,9455
2013,4.1744,Hartman,0,2009,449,48679
2014,4.1744,Hartman,0,2009,449,53565
2015,4.1744,Hartman,0,2009,449,54445
2016,4.1744,Hartman,2016,2009,449,61828
2017,4.1744,Hartman,2016,2009,449,65064
2018,4.1744,Hartman,2016,2009,449,67044
2019,4.1744,Hartman,2016,2009,449,68290
2000,36.0144,Entkraal,0,0,453,12185
2001,36.0144,Entkraal,0,2001,453,12245
2002,36.0144,Entkraal,0,2001,453,12242
2003,36.0144,Entkraal,0,2001,453,12259
2004,36.0144,Entkraal,0,2004,453,12303
2005,36.0144,Entkraal,0,2004,453,6681
2007,36.0144,Entkraal,0,2004,453,3311
2008,36.0144,Entkraal,0,2004,453,3767
2009,36.0144,Entkraal,2009,2009,453,4103
2010,36.0144,Entkraal,2009,2009,453,4745
2011,36.0144,Entkraal,2009,2009,453,5405
2012,36.0144,Entkraal,2009,2009,453,5558
2013,36.0144,Entkraal,2009,2009,453,24395
2014,36.0144,Entkraal,2009,2009,453,33289
2015,36.0144,Entkraal,2015,2009,453,54816
2016,36.0144,Entkraal,2016,2016,453,71973
2017,36.0144,Entkraal,2016,2016,453,73168
2018,36.0144,Entkraal,2016,2016,453,73378
2019,36.0144,Entkraal,2016,2016,453,73474
2000,49.4067,Swartbos-nek,0,0,455,16599
2001,49.4067,Swartbos-nek,0,0,455,78087
2002,49.4067,Swartbos-nek,2002,0,455,78550
2003,49.4067,Swartbos-nek,2003,2003,455,133938
2004,49.4067,Swartbos-nek,2003,2003,455,185488
2005,49.4067,Swartbos-nek,2003,2003,455,234900
2006,49.4067,Swartbos-nek,2003,2006,455,257018
2007,49.4067,Swartbos-nek,2003,2006,455,349946
2008,49.4067,Swartbos-nek,2003,2006,455,506569
2009,49.4067,Swartbos-nek,2003,2006,455,598356
2010,49.4067,Swartbos-nek,2003,2010,455,702678
2011,49.4067,Swartbos-nek,2003,2010,455,737759
2012,49.4067,Swartbos-nek,2003,2010,455,929011
2013,49.4067,Swartbos-nek,2013,2010,455,1145422
2014,49.4067,Swartbos-nek,2013,2010,455,1381545
2015,49.4067,Swartbos-nek,2013,2015,455,1490767
2016,49.4067,Swartbos-nek,2016,2015,455,1702772
2017,49.4067,Swartbos-nek,2016,2015,455,1889990
2018,49.4067,Swartbos-nek,2016,2015,455,1967605
2019,49.4067,Swartbos-nek,2016,2015,455,1991932
