Year,Last_Harvest,Patch_Population,Scenario
2000,0,19212,Baseline
2001,0,19212,Baseline
2002,0,19212,Baseline
2003,0,19212,Baseline
2004,2004,19212,Baseline
2005,2004,10001,Baseline
2006,2004,9954,Baseline
2007,2004,1066,Baseline
2008,2004,1038,Baseline
2009,2004,1056,Baseline
2010,2010,1469,Baseline
2011,2010,2069,Baseline
2012,2010,3593,Baseline
2013,2010,4539,Baseline
2014,2010,4846,Baseline
2015,2010,7127,Baseline
2016,2010,9808,Baseline
2017,2010,11764,Baseline
2018,2010,11766,Baseline
2019,2010,11762,Baseline
2000,0,19212,Harvest
2001,0,19212,Harvest
2002,0,19212,Harvest
2003,0,19212,Harvest
2004,2004,19212,Harvest
2005,2004,10037,Harvest
2006,2004,979,Harvest
2007,2004,1008,Harvest
2008,2004,1046,Harvest
2009,2004,1080,Harvest
2010,2010,1740,Harvest
2011,2010,2202,Harvest
2012,2010,3019,Harvest
2013,2010,4401,Harvest
2014,2010,4899,Harvest
2015,2010,7237,Harvest
2016,2010,11108,Harvest
2017,2010,11587,Harvest
2018,2010,11769,Harvest
2019,2010,11769,Harvest
2020,2010,11764,Harvest
2021,2010,11756,Harvest
2022,2010,11763,Harvest
2023,2010,11771,Harvest
2024,2010,11768,Harvest
2025,2010,11764,Harvest
2026,2026,11765,Harvest
2027,2010,11016,Harvest
2028,2010,11761,Harvest
2029,2010,11767,Harvest
2000,0,19212,Climate
2001,0,19212,Climate
2002,0,19212,Climate
2003,0,19212,Climate
2004,2004,19212,Climate
2005,2004,10001,Climate
2006,2004,9954,Climate
2007,2004,1066,Climate
2008,2004,1038,Climate
2009,2004,1056,Climate
2010,2010,1469,Climate
2011,2010,2069,Climate
2012,2010,3593,Climate
2013,2010,4539,Climate
2014,2010,4846,Climate
2015,2010,7127,Climate
2016,2010,9808,Climate
2017,2010,11764,Climate
2018,2010,11766,Climate
2019,2010,11762,Climate
2020,2010,11768,Climate
2021,2010,11765,Climate
2022,2010,11763,Climate
2023,2010,11767,Climate
2024,2010,11760,Climate
2025,2010,11767,Climate
2026,2026,11765,Climate
2027,2026,11764,Climate
2028,2026,10655,Climate
2029,2026,11768,Climate
2030,2026,11764,Climate
2031,2026,11768,Climate
2032,2026,11757,Climate
2033,2033,11778,Climate
2034,2033,11755,Climate
2035,2033,11772,Climate
2036,2033,11768,Climate
2037,2033,11772,Climate
2038,2033,11756,Climate
2039,2033,11768,Climate
