Camp,Crop_Yield_Kg,Type_Crop_Yield,Harvest_Year
Swartbos-nek,0,Crop_YieldA,2003
Swartbos-nek,245.9705181,Crop_YieldA,2006
Swartbos-nek,18.32704331,Crop_YieldA,2010
Swartbos-nek,176.5819039,Crop_YieldA,2015
Swartbos-nek,26476.5375,Crop_YieldB,2003
Swartbos-nek,26476.5375,Crop_YieldB,2006
Swartbos-nek,26476.5375,Crop_YieldB,2010
Swartbos-nek,14369.0625,Crop_YieldB,2015
Swartbos-nek,7396.36,Actual,2003
Swartbos-nek,13434.54545,Actual,2006
Swartbos-nek,8473,Actual,2010
Swartbos-nek,5128,Actual,2015
